metrica,metodo_a,metodo_b,numero_pares,media_a,media_b,mediana_a,mediana_b,diferencia_media_b_menos_a,diferencia_mediana_b_menos_a,estadistico_wilcoxon,p_wilcoxon,rank_biserial_signos_aprox,p_wilcoxon_holm,significativo_0_05_holm
clearance_dinamico_minimo_m,A* + DWA,A* + TD3,200,0.31068998220041477,0.4492623618570611,0.28398942633888147,0.2603283518170389,0.13857237965664634,0.021753630054023088,7515.0,0.0019805641074179064,0.1,0.003961128214835813,1
clearance_dinamico_minimo_m,A* + DWA,A* + SAC-R,200,0.31068998220041477,0.6762122507816118,0.28398942633888147,0.6585342048380944,0.3655222685811971,0.4011879510834617,2501.0,3.229059026333213e-20,0.52,1.9374354157999278e-19,1
clearance_dinamico_minimo_m,A* + DWA,A* + SAC-PO-TTC,200,0.31068998220041477,0.9022798446948137,0.28398942633888147,0.8489624278419818,0.591589862494399,0.5911849344567081,918.0,7.781906098822643e-29,0.74,7.781906098822643e-28,1
clearance_dinamico_minimo_m,A* + DWA,A* + SAC-UPO-TTC,200,0.31068998220041477,0.9951944646102282,0.28398942633888147,0.988578527524446,0.6845044824098135,0.7234403187616005,1466.0,1.138043574272353e-25,0.62,1.0242392168451177e-24,1
clearance_dinamico_minimo_m,A* + TD3,A* + SAC-R,200,0.4492623618570611,0.6762122507816118,0.2603283518170389,0.6585342048380944,0.22694988892455079,0.208260713354947,4457.0,8.828627493921044e-12,0.4,4.414313746960522e-11,1
clearance_dinamico_minimo_m,A* + TD3,A* + SAC-PO-TTC,200,0.4492623618570611,0.9022798446948137,0.2603283518170389,0.8489624278419818,0.4530174828377526,0.42964668438848586,1726.0,4.9770814586202676e-24,0.6381909547738693,3.981665166896214e-23,1
clearance_dinamico_minimo_m,A* + TD3,A* + SAC-UPO-TTC,200,0.4492623618570611,0.9951944646102282,0.2603283518170389,0.988578527524446,0.5459321027531672,0.5682919011074419,2304.0,3.3420656198680612e-21,0.58,2.3394459339076428e-20,1
clearance_dinamico_minimo_m,A* + SAC-R,A* + SAC-PO-TTC,200,0.6762122507816118,0.9022798446948137,0.6585342048380944,0.8489624278419818,0.22606759391320183,0.1282026634287574,5900.0,4.1118305330902003e-07,0.27,1.23354915992706e-06,1
clearance_dinamico_minimo_m,A* + SAC-R,A* + SAC-UPO-TTC,200,0.6762122507816118,0.9951944646102282,0.6585342048380944,0.988578527524446,0.31898221382861636,0.21126195661969205,4516.0,1.453974427852693e-11,0.4,5.815897711410772e-11,1
clearance_dinamico_minimo_m,A* + SAC-PO-TTC,A* + SAC-UPO-TTC,200,0.9022798446948137,0.9951944646102282,0.8489624278419818,0.988578527524446,0.09291461991541455,0.06777081452335865,7792.0,0.00586662601444639,0.18,0.00586662601444639,1
