semilla,metodo_a,resultado_a,metodo_b,resultado_b
170166,A* + TD3,colision_dinamica,A* + SAC-R,meta
170167,A* + TD3,meta,A* + SAC-R,colision_dinamica
170169,A* + TD3,colision_dinamica,A* + SAC-R,meta
170170,A* + TD3,meta,A* + SAC-R,colision_dinamica
170172,A* + TD3,colision_dinamica,A* + SAC-R,meta
170173,A* + TD3,colision_dinamica,A* + SAC-R,meta
170174,A* + TD3,meta,A* + SAC-R,colision_dinamica
170175,A* + TD3,colision_dinamica,A* + SAC-R,meta
170180,A* + TD3,colision_dinamica,A* + SAC-R,meta
170181,A* + TD3,meta,A* + SAC-R,colision_dinamica
170185,A* + TD3,meta,A* + SAC-R,colision_dinamica
170192,A* + TD3,meta,A* + SAC-R,timeout
170013,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170014,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170016,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170017,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170025,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170030,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170031,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170037,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170039,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170041,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170042,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170046,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170049,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170052,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170056,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170057,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170059,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170060,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170062,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170067,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170070,A* + TD3,colision_estatica,A* + SAC-PO-TTC,meta
170072,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170075,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170076,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170077,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170080,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170081,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170085,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170086,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170089,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170092,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170093,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170097,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170098,A* + TD3,meta,A* + SAC-PO-TTC,timeout
170100,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170103,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170117,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170120,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170123,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170132,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170136,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170137,A* + TD3,meta,A* + SAC-PO-TTC,timeout
170139,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170140,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170141,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170143,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170147,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170150,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170156,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170157,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170160,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170161,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170162,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
