condicion,semilla,metodo,numero_pasos_percepcion,numero_pasos_huella,huella_percepcion_primeros_pasos,latencia_pasos,sigma_posicion_m,sigma_velocidad_m_s,version_generador_ruido
incertidumbre_moderada,170020,A* + DWA,186,3,be1bcb52bf2a4cb555add3f8f4b5671b17aa4e0a285ccfc152cb15ad12ceb4ef,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170020,A* + TD3,215,3,be1bcb52bf2a4cb555add3f8f4b5671b17aa4e0a285ccfc152cb15ad12ceb4ef,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170020,A* + SAC-R,225,3,be1bcb52bf2a4cb555add3f8f4b5671b17aa4e0a285ccfc152cb15ad12ceb4ef,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170020,A* + SAC-PO-TTC,215,3,be1bcb52bf2a4cb555add3f8f4b5671b17aa4e0a285ccfc152cb15ad12ceb4ef,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170020,A* + SAC-UPO-TTC,179,3,be1bcb52bf2a4cb555add3f8f4b5671b17aa4e0a285ccfc152cb15ad12ceb4ef,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170021,A* + DWA,136,3,c807f4ed06291683834421391152008c0df210ce771bb0c806451615495072d4,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170021,A* + TD3,153,3,c807f4ed06291683834421391152008c0df210ce771bb0c806451615495072d4,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170021,A* + SAC-R,167,3,c807f4ed06291683834421391152008c0df210ce771bb0c806451615495072d4,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170021,A* + SAC-PO-TTC,167,3,c807f4ed06291683834421391152008c0df210ce771bb0c806451615495072d4,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170021,A* + SAC-UPO-TTC,154,3,c807f4ed06291683834421391152008c0df210ce771bb0c806451615495072d4,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170022,A* + DWA,178,3,4bc9b00ec34178c9a79aa1f23902535ed444f5345d8e1c25ef992d2550b7ffaa,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170022,A* + TD3,197,3,4bc9b00ec34178c9a79aa1f23902535ed444f5345d8e1c25ef992d2550b7ffaa,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170022,A* + SAC-R,233,3,4bc9b00ec34178c9a79aa1f23902535ed444f5345d8e1c25ef992d2550b7ffaa,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170022,A* + SAC-PO-TTC,216,3,4bc9b00ec34178c9a79aa1f23902535ed444f5345d8e1c25ef992d2550b7ffaa,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170022,A* + SAC-UPO-TTC,212,3,4bc9b00ec34178c9a79aa1f23902535ed444f5345d8e1c25ef992d2550b7ffaa,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170023,A* + DWA,137,3,7e257791d4fdee7cfb37c7ea25a78c3b01877887a5545e7320bc6e873f492b40,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170023,A* + TD3,193,3,7e257791d4fdee7cfb37c7ea25a78c3b01877887a5545e7320bc6e873f492b40,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170023,A* + SAC-R,158,3,7e257791d4fdee7cfb37c7ea25a78c3b01877887a5545e7320bc6e873f492b40,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170023,A* + SAC-PO-TTC,164,3,7e257791d4fdee7cfb37c7ea25a78c3b01877887a5545e7320bc6e873f492b40,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170023,A* + SAC-UPO-TTC,169,3,7e257791d4fdee7cfb37c7ea25a78c3b01877887a5545e7320bc6e873f492b40,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170024,A* + DWA,111,3,d26d0b70863f016b24b0dfb7c88d222af173232e9ac9f755c801fea4233acc5b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170024,A* + TD3,145,3,d26d0b70863f016b24b0dfb7c88d222af173232e9ac9f755c801fea4233acc5b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170024,A* + SAC-R,154,3,d26d0b70863f016b24b0dfb7c88d222af173232e9ac9f755c801fea4233acc5b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170024,A* + SAC-PO-TTC,148,3,d26d0b70863f016b24b0dfb7c88d222af173232e9ac9f755c801fea4233acc5b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170024,A* + SAC-UPO-TTC,149,3,d26d0b70863f016b24b0dfb7c88d222af173232e9ac9f755c801fea4233acc5b,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170025,A* + DWA,157,3,52fcf6e6815ea0f2afe9538ad3dd228162a1fd6cb213eb490299d5cb89ea5a4e,1,0.04,0.06,fase2_percepcion_comun_v1
incertidumbre_moderada,170025,A* + TD3,166,3,52fcf6e6815ea0f2afe9538ad3dd228162a1fd6cb213eb490299d5cb89ea5a4e,1,0.04,0.06,fase2_percepcion_comun_v1
