semilla,metodo_a,resultado_a,metodo_b,resultado_b
170003,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170009,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170010,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170013,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170014,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170017,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170026,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170030,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170037,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170038,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170039,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170041,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170042,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170046,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170052,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170057,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170059,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170060,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170067,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170070,A* + TD3,colision_estatica,A* + SAC-PO-TTC,meta
170072,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170076,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170077,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170081,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170085,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170086,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170089,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170098,A* + TD3,meta,A* + SAC-PO-TTC,timeout
170103,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170105,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170114,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170117,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170118,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170120,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170129,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170132,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170134,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170136,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170139,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170140,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170141,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170143,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170147,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170152,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170155,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170156,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170157,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170161,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170168,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170169,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170170,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170173,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170174,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170175,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170176,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170179,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170182,A* + TD3,meta,A* + SAC-PO-TTC,timeout
170183,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170184,A* + TD3,meta,A* + SAC-PO-TTC,colision_estatica
170185,A* + TD3,meta,A* + SAC-PO-TTC,colision_dinamica
170186,A* + TD3,colision_dinamica,A* + SAC-PO-TTC,meta
170003,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170009,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170010,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170012,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170018,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170020,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170021,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170026,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170029,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170030,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170031,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170032,A* + TD3,meta,A* + SAC-UPO-TTC,colision_estatica
170033,A* + TD3,meta,A* + SAC-UPO-TTC,colision_dinamica
170037,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170041,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170042,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170046,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
170049,A* + TD3,colision_dinamica,A* + SAC-UPO-TTC,meta
