numero_evaluacion,semilla,resultado,exito,colision_estatica,colision_dinamica,fuera_mapa,timeout,pasos_ejecutados,tiempo_navegacion,recompensa_acumulada,longitud_recorrida,distancia_final_meta,eficiencia_navegacion,error_medio_ruta,error_rmse_ruta,error_maximo_ruta,clearance_estatico_minimo,clearance_dinamico_minimo,clearance_total_minimo,clearance_total_promedio,variacion_total_v,variacion_total_omega,esfuerzo_control
34,65033,meta,1,0,0,0,0,175,17.5,297.6960305486001,7.498100633736159,0.4938727601003988,1.1057068035685016,0.21004941379032213,0.24632719313523962,0.4535499123824744,1.3038867221813732,1.1926952965015944,1.1926952965015944,1.5253344450743567,6.60637213273694,40.387291276268655,9.00356320104531
35,65034,meta,1,0,0,0,0,264,26.400000000000002,431.58113534883137,14.451666167686062,0.49865403171145894,1.0249792197287309,0.2890838340559225,0.3404160544544295,0.8263566609691857,0.2548421500873671,1.1792955186333258,0.2548421500873671,1.0447558758033342,19.204600641226413,61.27325047459453,13.311148981765934
36,65035,colision_dinamica,0,0,1,0,0,74,7.4,-71.71437594943721,6.136104238765241,2.6803827122221393,nan,0.16838322692170182,0.19165843388028764,0.31846832961534854,0.3658853533308217,-0.0060604558967640165,-0.0060604558967640165,0.6910127427609525,3.002803373336792,18.782695880532266,6.837597262171435
37,65036,meta,1,0,0,0,0,187,18.7,272.8491122152261,9.388970584709957,0.493421761515275,1.0378812029905873,0.32488328606309774,0.4086544817769271,0.7099937287454248,0.43223991216619795,0.7967770643368014,0.43223991216619795,1.1921406224692073,10.174029226029282,42.86019051522017,12.687611621851698
38,65037,meta,1,0,0,0,0,179,17.900000000000002,265.38274827360055,9.690967922994945,0.49992539573542055,0.996278186640607,0.316170171751297,0.36830590057399987,0.6531903505689298,0.6629599001735401,0.6126760863173559,0.6126760863173559,0.9444396813670611,9.351748326784698,42.51361799482256,10.148787792176723
39,65038,meta,1,0,0,0,0,185,18.5,214.16243818472407,8.280497263412249,0.49715969265722226,1.0602312187396992,0.18478475926005888,0.23254260379140565,0.4282732958366882,0.5438573063145683,0.7353291019656114,0.5438573063145683,0.979174435337643,6.967710292933917,49.57895967513323,9.761827770876014
40,65039,meta,1,0,0,0,0,231,23.1,321.67045643370795,11.609514179947901,0.4976717360721023,1.0449446447340256,0.2832843209588275,0.31752696065280467,0.5517608867584638,0.16499915639790752,0.8384471384587451,0.16499915639790752,0.8601426006862884,13.853200700009765,56.04607046693563,10.758671714851596
41,65040,meta,1,0,0,0,0,198,19.8,348.1938980808289,10.21690681147895,0.4993495558766175,1.0603385750344312,0.1578578589183734,0.2086556215362893,0.6214025120574245,0.27153205060046404,1.1759817103166208,0.27153205060046404,1.1255995407255461,12.907178242279771,48.549225244298576,9.33590657611517
42,65041,colision_dinamica,0,0,1,0,0,191,19.1,-215.24734701786,6.4495428824099985,5.776433622956468,nan,0.17422118512675241,0.24336897934680046,0.559488707956626,0.31133504845132176,-0.08077011334132123,-0.08077011334132123,0.5851304344335974,18.31841757807415,52.935792019404474,5.034702899260459
43,65042,meta,1,0,0,0,0,182,18.2,305.85502549042644,8.533296708694383,0.49778170777354597,1.0767953864445123,0.12774885723495277,0.14856092599615398,0.318883641047889,0.3791130141019593,0.9167969239111186,0.3791130141019593,1.0275012905938936,10.630966971745503,46.609905062615866,8.17704113274579
44,65043,colision_dinamica,0,0,1,0,0,191,19.1,-179.3581517581855,10.852802576625797,7.523573991293996,nan,0.11804238157372554,0.1525064180105102,0.3899553682978085,0.06400017185501239,-0.007972160105723936,-0.007972160105723936,0.35827548846067314,15.745731589198112,50.29057887047529,10.888219813025287
45,65044,meta,1,0,0,0,0,195,19.5,242.40406549189765,9.220747418377995,0.4948112244009046,1.023898171912572,0.2993161449336973,0.38902123814795625,0.7311418026077713,0.5849893369329187,0.5892047355874879,0.5849893369329187,1.0708184590011762,10.490845588479308,48.01407861486078,9.912630625128912
46,65045,meta,1,0,0,0,0,221,22.1,333.9143216401403,12.06679325920968,0.4972972882543684,1.053981852281215,0.19539257796928386,0.2588043447926089,0.5914854969048191,0.13920538714053665,1.0407108628187447,0.13920538714053665,0.7530597974241117,11.220670597759327,52.37204549014568,11.605551032660065
47,65046,meta,1,0,0,0,0,162,16.2,271.85003818434745,7.5920260824741375,0.4965542550056816,1.1196713494237183,0.22734092433783273,0.27682963148109696,0.4965160172218219,0.42433520308175765,0.9603103563434574,0.42433520308175765,1.2561759354214326,8.311586086485685,38.72281797975302,7.1367515593876165
48,65047,meta,1,0,0,0,0,196,19.6,162.35807017531067,9.931209262094029,0.494555835087316,1.0835544266350385,0.10287675878543381,0.12569792538815133,0.27012322557510515,0.3881561031820835,0.3655443519219753,0.3655443519219753,0.7079130537484942,11.540067797096418,45.3507952062413,10.050772422610546
49,65048,meta,1,0,0,0,0,197,19.700000000000003,310.6426447247739,8.927129847948667,0.49811392972023344,1.1080065842411013,0.07879674075159121,0.10815956141403718,0.3132140667957799,0.6971975347986962,0.45416593649781767,0.45416593649781767,1.2367685951204586,7.9455966023907365,42.31991852950304,8.528730228097448
50,65049,meta,1,0,0,0,0,218,21.8,208.20989953689121,11.973695428345673,0.4984828285116953,1.0671433111804285,0.14372648360777726,0.17556608499892645,0.3709191383385928,0.3659409312559089,0.2625275414961533,0.2625275414961533,0.6164654638268653,11.266923332838012,58.02347321277484,11.418368294785333
51,65050,meta,1,0,0,0,0,285,28.5,280.16412808532493,13.939577793991972,0.4988732380186863,1.0279309181823089,0.28086193525843656,0.3457937687224163,0.6709627241130827,0.019745930678209844,0.5472601167254603,0.019745930678209844,0.7482886002287847,16.357961494620426,66.47757004529703,13.308752229123542
52,65051,meta,1,0,0,0,0,219,21.900000000000002,382.7646661762748,11.24623817470427,0.4969579530403821,1.0560271033219446,0.3012694419498917,0.41980292672204855,0.9738268222198597,0.8008634230121426,1.1988983431794975,0.8008634230121426,1.4627095432986916,16.610464691349698,48.40532389804721,9.948742233260527
53,65052,colision_dinamica,0,0,1,0,0,87,8.700000000000001,-83.10973979553171,6.120127903163923,7.400597844538828,nan,0.17557351688201053,0.19770071764326466,0.32604553321445595,0.21242429572198007,-0.004021242763862287,-0.004021242763862287,0.48454718251420736,8.009636944532394,21.53557493388652,6.268456747974756
54,65053,meta,1,0,0,0,0,97,9.700000000000001,266.5468315667367,7.063191182269722,0.4983185244592616,1.1356094806577859,0.1640883992427741,0.19323648326220466,0.3658088505397252,0.1618974628560349,2.735310343878667,0.1618974628560349,0.5218835973319864,2.3791650831409203,23.558736651390788,7.290544689229347
55,65054,meta,1,0,0,0,0,212,21.200000000000003,130.22286760162717,7.8852471308731396,0.49446145339119507,1.0351185638603344,0.3113387837488339,0.426168651434934,0.8849922976039077,0.543392934971082,0.7190940014965284,0.543392934971082,0.932816099560342,13.589898391092305,55.99582863738759,8.79217344946972
56,65055,meta,1,0,0,0,0,195,19.5,308.25265620156193,9.284926116509022,0.4996687463719626,1.064381583429315,0.2341092451429343,0.26636028739871015,0.4284766454025919,0.47303224469061833,0.9583226423705207,0.47303224469061833,0.9069645901310034,10.836643620406885,42.400815818086265,8.923623616252375
57,65056,meta,1,0,0,0,0,204,20.400000000000002,346.8674792772397,10.66815802341803,0.49360739854538793,1.0546454027285288,0.2211754492449545,0.2914792716719567,0.6052078106547558,0.27433397266502013,1.1888923464820622,0.27433397266502013,0.9985086740925215,9.707145175714787,44.85918294424191,14.209923583864256
58,65057,meta,1,0,0,0,0,260,26.0,419.4565225702153,12.646002483472936,0.49789818352185783,1.0435969435457944,0.2940659964853501,0.3591939023760044,0.606842956914706,0.6374698448900012,1.6116189192585146,0.6374698448900012,1.3958561400631633,15.33297423822018,60.761128378286955,11.709638668721983
59,65058,meta,1,0,0,0,0,237,23.700000000000003,130.2369203503237,10.354612998313968,0.49889532995143243,0.9826453223131654,0.43747219047126096,0.5315941680066693,0.8857734503507277,0.8710250321695318,0.2383288712010589,0.2383288712010589,1.2387455196399413,9.956214770669396,47.53250715732574,12.387596577671685
